gender,age,age_o,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,met,decision,decision_o,match
female,24,22,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10,10.0,10.0,10,10.0,7,5,10,8,3,5,8,9,6,3,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6.0,0,0,1,0
female,24,23,Law,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9,9.0,9.0,9,9.0,7,5,10,8,3,7,9,7,6,5,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,7.0,0,1,1,1
female,24,24,Law,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10,10.0,10.0,7,8.0,7,5,10,8,3,6,8,7,9,7,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8.0,1,0,1,0
female,24,25,Law,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8,7.0,5.0,7,7.0,7,5,10,8,3,8,7,8,3,6,2,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,6.0,0,0,1,0
female,24,30,Law,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3,4.0,3.0,5,3.0,7,5,10,8,3,7,5,9,6,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8.0,0,1,0,0
female,24,27,Law,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7,7.0,7.0,7,5.0,7,5,10,8,3,5,8,7,5,9,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5.0,0,0,1,0
female,24,28,Law,50.0,0.0,25.0,10.0,0.0,15.0,8.0,6,9.0,9.0,8,7.0,7,5,10,8,3,7,6,8,9,4,5,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,5.0,0,1,1,1
female,24,24,Law,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5,7.0,7.0,9,7.0,7,5,10,8,3,6,7,8,7,9,8,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,3,8.0,0,1,0,0
female,23,27,Law,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7,8.0,7.0,7,5.0,7,8,9,7,8,4,10,8,5,8,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6.0,0,0,0,0
female,23,22,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5,10.0,6.0,6,5.0,7,8,9,7,8,8,7,8,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8.0,1,0,0,0
female,23,22,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10,10.0,10.0,10,10.0,7,8,9,7,8,4,7,8,8,6,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4.0,0,0,1,0
female,23,23,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7,7.0,9.0,9,9.0,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8.0,1,1,1,1
female,23,24,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8,9.0,8.0,8,9.0,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,7.0,0,0,1,0
female,23,25,Law,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6,7.0,7.0,8,7.0,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,4.0,0,0,1,0
female,23,30,Law,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6,3.0,5.0,6,5.0,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,5.0,0,0,1,0
female,23,27,Law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7,8.0,6.0,6,5.0,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,6.0,0,0,0,0
female,23,28,Law,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7,7.0,10.0,9,10.0,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,8.0,0,1,1,1
female,23,24,Law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8,8.0,7.0,8,7.0,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,2,10.0,0,1,0,0
female,23,27,Law,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9,8.0,9.0,8,4.0,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6.0,0,1,0,0
female,23,22,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8,10.0,6.0,7,6.0,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,7.0,0,1,0,0
female,23,22,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10,10.0,10.0,10,10.0,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,6.0,1,0,1,0
female,23,23,Law,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8,8.0,7.0,9,8.0,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9.0,0,1,1,1
female,23,24,Law,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7,9.0,7.0,9,6.0,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,4.0,1,0,1,0
female,23,25,Law,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6,8.0,8.0,8,7.0,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,2.0,0,0,1,0
female,23,30,Law,35.0,15.0,25.0,10.0,5.0,10.0,5.0,6,8.0,4.0,5,4.0,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,8.0,0,1,0,0
female,23,27,Law,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7,8.0,7.0,8,5.0,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,5.0,0,0,0,0
female,23,28,Law,50.0,0.0,25.0,10.0,0.0,15.0,6.0,7,7.0,6.0,6,6.0,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9.0,0,1,1,1
female,23,24,Law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,10,10.0,6.0,10,7.0,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4,9.0,0,1,0,0
female,22,27,Law,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8,8.0,8.0,7,7.0,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7.0,0,0,0,0
female,22,22,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,9,10.0,6.0,6,5.0,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7.0,1,0,1,0
female,22,22,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10,10.0,10.0,10,10.0,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7.0,1,0,1,0
female,22,23,Law,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8,9.0,8.0,9,9.0,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8.0,1,1,1,1
female,22,24,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7,9.0,6.0,9,5.0,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5.0,1,0,1,0
female,22,25,Law,50.0,0.0,30.0,10.0,0.0,10.0,8.0,8,8.0,6.0,6,6.0,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5.0,0,0,1,0
female,22,30,Law,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6,5.0,4.0,4,3.0,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,8.0,0,1,0,0
female,22,27,Law,33.33,11.11,11.11,11.11,11.11,22.22,8.0,7,6.0,7.0,7,5.0,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,5.0,0,0,1,0
female,22,28,Law,50.0,0.0,25.0,10.0,0.0,15.0,9.0,7,9.0,9.0,9,10.0,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,6.0,0,1,1,1
female,22,24,Law,100.0,0.0,0.0,0.0,0.0,0.0,7.0,6,8.0,6.0,8,7.0,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,2,7.0,0,1,0,0
female,26,27,Masters In Public Administration,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8,7.0,8.0,7,5.0,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5.0,0,1,0,0
female,26,22,Masters In Public Administration,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8,10.0,7.0,6,5.0,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,10.0,0,1,1,1
female,26,22,Masters In Public Administration,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10,10.0,10.0,10,10.0,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8.0,0,1,1,1
female,26,23,Masters In Public Administration,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8,7.0,8.0,8,7.0,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7.0,0,1,1,1
female,26,24,Masters In Public Administration,30.0,10.0,20.0,10.0,10.0,20.0,7.0,9,8.0,9.0,7,7.0,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,5.0,0,1,1,1
female,26,25,Masters In Public Administration,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6,7.0,8.0,7,7.0,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,6.0,0,1,1,1
female,26,30,Masters In Public Administration,35.0,15.0,25.0,10.0,5.0,10.0,8.0,6,7.0,8.0,6,5.0,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7.0,0,1,1,1
female,26,27,Masters In Public Administration,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7,7.0,7.0,6,5.0,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7.0,0,1,0,0
female,26,28,Masters In Public Administration,50.0,0.0,25.0,10.0,0.0,15.0,6.0,6,6.0,7.0,6,6.0,7,6,10,7,7,8,5,5,6,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,7.0,0,1,1,1
female,26,24,Masters In Public Administration,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6,6.0,6.0,6,6.0,7,6,10,7,7,7,8,7,8,7,8,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6,15,1,8.0,0,1,0,0
male,27,21,Finance,15.0,20.0,20.0,15.0,15.0,15.0,6.0,9,7.0,7.0,6,5.0,8,9,7,8,5,6,8,8,8,8,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,7.0,0,0,1,0
male,27,24,Finance,45.0,5.0,25.0,20.0,0.0,5.0,5.0,7,8.0,4.0,6,3.0,8,9,7,8,5,8,7,6,9,7,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,7.0,0,0,0,0
male,27,25,Finance,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9,10.0,7.0,8,9.0,8,9,7,8,5,7,8,6,5,8,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,5.0,1,0,0,0
male,27,23,Finance,20.0,20.0,20.0,20.0,10.0,10.0,4.0,10,8.0,5.0,8,7.0,8,9,7,8,5,6,7,8,7,7,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,6.0,0,0,0,0
male,27,21,Finance,20.0,5.0,25.0,25.0,10.0,15.0,5.0,8,8.0,2.0,2,2.0,8,9,7,8,5,6,8,8,8,7,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,6.0,0,0,0,0
male,27,23,Finance,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9,7.0,6.0,7,6.0,8,9,7,8,5,7,9,8,9,8,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,7.0,0,0,1,0
male,27,22,Finance,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8,8.0,5.0,7,4.0,8,9,7,8,5,7,8,8,8,7,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,7.0,0,0,0,0
male,27,25,Finance,9.09,18.18,27.27,18.18,18.18,9.09,5.0,8,7.0,4.0,7,5.0,8,9,7,8,5,8,7,6,6,6,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,7.0,0,0,1,0
male,27,26,Finance,20.0,10.0,20.0,30.0,10.0,10.0,8.0,10,9.0,8.0,7,6.0,8,9,7,8,5,6,8,7,8,7,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,3,0,6.0,0,0,1,0
male,22,21,Law,15.0,20.0,20.0,15.0,15.0,15.0,7.0,8,7.0,8.0,5,6.0,9,9,9,10,9,7,8,10,7,7,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,8.0,0,0,1,0
male,22,24,Law,45.0,5.0,25.0,20.0,0.0,5.0,8.0,5,6.0,6.0,9,6.0,9,9,9,10,9,7,6,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,8.0,0,0,0,0
male,22,25,Law,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7,9.0,8.0,9,7.0,9,9,9,10,9,6,7,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,7.0,0,0,0,0
male,22,23,Law,20.0,20.0,20.0,20.0,10.0,10.0,8.0,7,8.0,10.0,7,8.0,9,9,9,10,9,6,5,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,6.0,1,0,0,0
male,22,21,Law,20.0,5.0,25.0,25.0,10.0,15.0,8.0,6,6.0,5.0,5,5.0,9,9,9,10,9,6,7,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,7.0,1,0,0,0
male,22,23,Law,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9,9.0,6.0,8,2.0,9,9,9,10,9,6,8,10,6,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,7.0,0,0,1,0
male,22,22,Law,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6,8.0,4.0,9,4.0,9,9,9,10,9,7,9,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,8.0,1,1,0,0
male,22,25,Law,9.09,18.18,27.27,18.18,18.18,9.09,8.0,7,7.0,9.0,6,7.0,9,9,9,10,9,8,8,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,9.0,0,1,1,1
male,22,26,Law,20.0,10.0,20.0,30.0,10.0,10.0,10.0,10,10.0,10.0,10,10.0,9,9,9,10,9,8,8,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,7,20,3,8.0,0,1,1,1
male,25,21,Business,15.0,20.0,20.0,15.0,15.0,15.0,4.0,9,7.0,4.0,6,4.0,6,6,8,8,6,7,7,8,8,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,7.0,0,1,0,0
male,25,24,Business,45.0,5.0,25.0,20.0,0.0,5.0,8.0,7,8.0,3.0,6,2.0,6,6,8,8,6,7,8,7,5,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,7.0,0,1,0,0
male,25,25,Business,35.0,10.0,35.0,10.0,10.0,0.0,8.0,10,10.0,7.0,9,9.0,6,6,8,8,6,7,6,6,6,6,6,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,6.0,0,1,0,0
male,25,23,Business,20.0,20.0,20.0,20.0,10.0,10.0,5.0,10,8.0,4.0,8,2.0,6,6,8,8,6,6,6,7,7,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,6.0,0,1,0,0
male,25,21,Business,20.0,5.0,25.0,25.0,10.0,15.0,5.0,6,7.0,5.0,7,8.0,6,6,8,8,6,5,8,7,7,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,6.0,0,0,1,0
male,25,23,Business,10.0,25.0,20.0,25.0,5.0,15.0,3.0,7,6.0,1.0,1,1.0,6,6,8,8,6,6,6,8,8,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,6.0,0,1,0,0
male,25,22,Business,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8,7.0,4.0,5,4.0,6,6,8,8,6,8,8,8,6,6,6,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,7.0,0,1,0,0
male,25,25,Business,9.09,18.18,27.27,18.18,18.18,9.09,6.0,8,8.0,5.0,6,7.0,6,6,8,8,6,8,7,7,7,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,7.0,0,1,1,1
male,25,26,Business,20.0,10.0,20.0,30.0,10.0,10.0,8.0,9,9.0,7.0,6,5.0,6,6,8,8,6,6,6,7,8,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,3,6.0,0,1,1,1
male,30,21,Political Science,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6,7.0,4.0,6,7.0,7,7,6,8,4,3,6,7,5,8,7,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,2.0,0,0,1,0
male,30,24,Political Science,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5,9.0,6.0,7,9.0,7,7,6,8,4,5,3,4,3,5,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,4.0,0,0,1,0
male,30,25,Political Science,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9,10.0,7.0,7,9.0,7,7,6,8,4,6,3,5,4,5,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,2.0,0,0,0,0
male,30,23,Political Science,20.0,20.0,20.0,20.0,10.0,10.0,7.0,10,10.0,7.0,10,5.0,7,7,6,8,4,7,6,3,5,6,5,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,6.0,0,1,0,0
male,30,21,Political Science,20.0,5.0,25.0,25.0,10.0,15.0,6.0,6,8.0,5.0,5,6.0,7,7,6,8,4,2,3,4,4,5,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,3.0,0,0,1,0
male,30,23,Political Science,10.0,25.0,20.0,25.0,5.0,15.0,8.0,8,8.0,8.0,3,4.0,7,7,6,8,4,5,6,8,4,5,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,3.0,0,0,1,0
male,30,22,Political Science,15.0,15.0,25.0,20.0,15.0,10.0,7.0,7,8.0,7.0,7,7.0,7,7,6,8,4,7,6,5,4,4,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,5.0,0,0,1,0
male,30,25,Political Science,9.09,18.18,27.27,18.18,18.18,9.09,6.0,7,8.0,5.0,7,7.0,7,7,6,8,4,6,4,7,5,6,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,4.0,0,0,1,0
male,30,26,Political Science,20.0,10.0,20.0,30.0,10.0,10.0,6.0,8,9.0,6.0,6,6.0,7,7,6,8,4,8,6,7,8,6,5,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,1,8.0,0,1,1,1
male,27,21,Business,15.0,20.0,20.0,15.0,15.0,15.0,4.0,9,7.0,6.0,5,6.0,6,8,6,8,9,6,7,5,6,8,6,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,0,0,0
male,27,24,Business,45.0,5.0,25.0,20.0,0.0,5.0,5.0,8,7.0,5.0,9,5.0,6,8,6,8,9,7,7,7,7,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,1,0,0
male,27,25,Business,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9,9.0,8.0,9,7.0,6,8,6,8,9,4,5,6,4,6,4,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,5.0,0,0,0,0
male,27,23,Business,20.0,20.0,20.0,20.0,10.0,10.0,5.0,9,9.0,5.0,9,7.0,6,8,6,8,9,6,7,8,6,6,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,0,0,0
male,27,21,Business,20.0,5.0,25.0,25.0,10.0,15.0,5.0,5,7.0,6.0,7,5.0,6,8,6,8,9,5,5,6,5,5,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,6.0,0,0,1,0
male,27,23,Business,10.0,25.0,20.0,25.0,5.0,15.0,4.0,8,9.0,2.0,8,3.0,6,8,6,8,9,6,7,8,7,8,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,0,0,0
male,27,22,Business,15.0,15.0,25.0,20.0,15.0,10.0,5.0,7,8.0,5.0,9,5.0,6,8,6,8,9,8,7,6,7,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,1,0,0
male,27,25,Business,9.09,18.18,27.27,18.18,18.18,9.09,5.0,6,7.0,4.0,5,6.0,6,8,6,8,9,9,8,8,8,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,1,1,1
male,27,26,Business,20.0,10.0,20.0,30.0,10.0,10.0,6.0,7,8.0,7.0,9,6.0,6,8,6,8,9,7,7,7,7,6,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,2,7.0,0,0,1,0
male,24,21,Finance,15.0,20.0,20.0,15.0,15.0,15.0,5.0,6,6.0,8.0,10,8.0,7,7,10,10,10,6,6,6,6,6,6,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,19,1,6.0,0,0,1,0
male,24,24,Finance,45.0,5.0,25.0,20.0,0.0,5.0,6.0,7,8.0,7.0,9,8.0,7,7,10,10,10,6,5,7,7,9,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,19,1,6.0,0,0,1,0
